id,nome,cpf,email,cidade,telefones,endereco,Grupos
283,William Lucas Oliveira,784.792.834-33,william.lucas@septem.co.uk,2206654,(89) 9868 - 5968; (83) 2913 - 8853; (89) 2918 - 9325,"Avenida Colonial, 1714 - Apartamento 409",3;1;2
284,Tony Walter Andrade,336.635.982-76,tony_walter@carlmail.com,2203255,(26) 3865 - 3191; (91) 18495 - 8207; (48) 3898 - 7423,"Travessa Cristina Aveiro, 834",4;3;1
285,Teresa Santos Walter,576.917.168-75,teresa-santos@hjmail.com.br,2206753,(89) 3381 - 5841; (89) 29784 - 5300; (91) 9831 - 3363,"Avenida Ernesto Augusto, 2006",4;3;2;1
286,Lauro Duarte Oliveira,351.989.839-68,lauro.duarte@septem.co.uk,2516508,(64) 1991 - 5752; (36) 26341 - 5632; (45) 6373 - 4644,"Rua da Cenoura, 1278 - sala 13",3;2;4
287,Rosa Trindade Santista,789.536.133-92,rosa.trindade@carlmail.com,2201903,(51) 1756 - 2278; ,"Alameda Marcos, 737 - sala 9",2;4;1;3
288,Priscila Trindade Duarte,451.822.337-41,priscila-trindade@carlmail.com,2908507,(95) 3848 - 6756; ,"Rua Easy, 2012",3;4;1
289,Laura Edgar Andrade,798.218.532-25,laura.edgar@hjmail.com.br,2607208,(85) 6295 - 4376; ,"Travessa Marcos, 1269",4;3;1
290,Rafael De Melo Walter,217.422.821-87,rafael-de@septem.co.uk,2305308,(53) 4916 - 4155; ,"Avenida Uberaba, 1858 - Apto 120",1;2;3
291,William Trindade Pires,295.355.551-38,williamtrindade@carlmail.com,2512705,(89) 1483 - 8692; ,"Travessa Brasil, 421 - sala 20",1;3
292,Dina Oliveira Silveira,271.443.568-66,dina-oliveira@carlmail.com,2204352,(78) 4374 - 5647; ,"Avenida do Coelho da Páscoa, 1703 - sala 18",3;2;1
293,Marcos Abreu Abreu,658.921.542-89,marcos_abreu@hjmail.com.br,2309201,(18) 9425 - 8922; ,"Alameda Ernesto Augusto, 1713 - Apto 341",3;4;2;1
294,Lauro Duarte Melo,594.393.368-78,lauroduarte@carlmail.com,2202505,(56) 2595 - 7651; ,"Rua Carolina, 269",1;2;4
295,Marcos de Sá Silva,169.771.158-73,marcos.de@carlmail.com,2403251,(18) 5844 - 2567; ,"Avenida Yayá, 366",1;2
296,Maria Silva Santista,426.862.358-57,maria.silva@hjmail.com.br,1504976,(72) 1249 - 4914; ,"Alameda Cristina Aveiro, 1125 - sala 13",3;4;1
297,Lisa Andrade De Melo,649.711.291-74,lisa.andrade@carlmail.com,1507961,(83) 3318 - 3897; (65) 8221 - 3474; (85) 1787 - 8318,"Rua Peas, 1991",4;3;2
298,Sandra Lima Racazella,185.468.231-35,sandralima@carlmail.com,2512804,(33) 4492 - 3392; (22) 22943 - 9024; (34) 3434 - 7308,"Alameda Estados Desunidos, 1454",4;3;1
299,Sandra Pires Ramos,717.562.127-39,sandrapires@carlmail.com,1503457,(79) 4245 - 3826; (91) 16938 - 5761; (59) 6727 - 7834,"Rua Setembro, 977",2;3;4
300,Priscila Walter Edgar,221.313.556-11,priscila-walter@septem.co.uk,2512903,(79) 2813 - 4919; (51) 16535 - 9608; (77) 3721 - 6730,"Alameda Uberaba, 1620 - sala 4",3;2;1;4
301,Leandro Santos Andrade,136.456.821-87,leandrosantos@septem.co.uk,2112209,(86) 8739 - 1198; (41) 8631 - 2309; (67) 9513 - 1547,"Rua Easy, 1001",2;1;4
302,Leandro Andrade Lima,132.443.474-96,leandro_andrade@septem.co.uk,1703073,(42) 6769 - 1295; (71) 21356 - 8770; (22) 5955 - 9728,"Alameda Evangelista, 1264",1;2;3
303,Carlos de Sá Ramos,631.288.215-84,carlos-de@carlmail.com,2700201,(95) 2255 - 9913; (92) 28574 - 6542; (73) 5674 - 6064,"Travessa Yayá, 699",3;4
304,Tony Melo Trindade,694.212.385-66,tonymelo@hjmail.com.br,2500304,(52) 6133 - 1442; (16) 30645 - 9220,"Alameda do Whisky, 1165 - sala 14",4;2;3
305,Guilherme Lucas Pires,841.816.962-89,guilherme-lucas@septem.co.uk,2400208,(26) 9451 - 9949; (79) 15662 - 9320,"Travessa Marcos, 1457 - sala 21",3;2;1
306,Guilherme Santos Lucas,529.992.312-78,guilherme_santos@hjmail.com.br,2610707,(76) 7515 - 2289; (77) 27855 - 8176,"Avenida da Lenora, 1331",3;2
307,João Silva Duarte,919.619.235-18,joão-silva@carlmail.com,2414209,(33) 8464 - 6293; (46) 18476 - 3635,"Avenida Peas, 1369",2;3;4;1
308,Pamela Queiroz Santos,156.542.491-26,pamela.queiroz@hjmail.com.br,2512903,(64) 7428 - 6192; (84) 4455 - 6233,"Travessa garça, 421",4;1;3
309,Eduardo Lucas Silveira,936.724.693-18,eduardo-lucas@hjmail.com.br,2504009,(57) 5385 - 4193; (21) 18365 - 7730,"Alameda Costa Teles, 255",3;4
310,Rosa de Sá Oliveira,694.894.117-23,rosade@septem.co.uk,2105401,(85) 1624 - 9875; (49) 17843 - 1607,"Alameda Yayá, 1013",4;2;3
311,Sousa Abreu Santista,775.175.897-25,sousa.abreu@septem.co.uk,2111078,(92) 3827 - 4527; (15) 3356 - 9163,"Avenida Ernesto Augusto, 1566 - Apto 380",2;1;3
312,Otávio Edgar Lucas,376.145.363-36,otávio.edgar@hjmail.com.br,2902005,(74) 2315 - 9437; (26) 16616 - 4282,"Rua Cristo, 1117 - Apartamento 651",1;4;3
313,Rosa Lucas Walter,931.526.545-42,rosa_lucas@hjmail.com.br,1721307,(81) 3346 - 1781; (37) 24858 - 9655,"Travessa Setembro, 1007 - sala 11",3;4;1
314,Lauro Racazella Lucas,537.464.369-65,lauroracazella@carlmail.com,2503704,(21) 2562 - 7531; (82) 28624 - 5130,"Travessa Cristo, 816 - sala 21",1;4;3
315,Natasha Edgar Melo,115.732.878-13,natasha_edgar@hjmail.com.br,2805307,(96) 4825 - 7332; (39) 25773 - 8100,"Travessa Maria Angélica, 1149",3;1
316,Rosa de Sá Queiroz,869.532.226-54,rosade@septem.co.uk,1718758,(19) 3251 - 5643; (89) 20327 - 2944,"Rua Lenora, 741",1;3;2;4
317,Maria Edgar Silva,655.689.125-82,maria_edgar@hjmail.com.br,2912806,(23) 6159 - 4759; (18) 24553 - 7105,"Travessa Saracura, 683 - sala 9",3;4
318,Eduardo Oliveira Crozara,596.722.993-49,eduardo-oliveira@carlmail.com,2905503,(34) 9844 - 1185; (42) 12694 - 4220,"Travessa Brasil, 91",3;4;2
319,Adriana Racazella Racazella,116.771.211-23,adriana-racazella@carlmail.com,2502151,(27) 9328 - 3692; (86) 2899 - 6561,"Rua Cristina Aveiro, 2003 - Apartamento 555",2;1;3;4
320,William Lucas Ramos,284.365.844-95,william.lucas@hjmail.com.br,2911204,(66) 2592 - 6244; (49) 22717 - 2682,"Rua Maria Angélica, 420",4;2;1
321,Natasha de Sá Sousa,372.882.497-85,natasha_de@hjmail.com.br,2311108,(58) 8852 - 7697; (47) 21493 - 3436,"Rua Setembrino, 1237 - sala 7",4;3;2
322,Orlando Edgar De Melo,755.143.778-13,orlando_edgar@hjmail.com.br,2201408,(11) 6455 - 3987; (38) 5447 - 1072,"Avenida Easy, 1917",2;4;1;3
323,Otávio Lima Lucas,362.479.737-11,otávio_lima@hjmail.com.br,2413557,(77) 5969 - 3254; (83) 1226 - 6028; (59) 5349 - 5623,"Rua Vinícius CEO, 930",2;3
324,Beatriz Sousa de Sá,948.822.414-68,beatriz-sousa@carlmail.com,2207801,(92) 2683 - 5128; (52) 5992 - 3026; (99) 3986 - 3971,"Alameda Colonial, 1287",4;2;3
325,Dina Silveira Duarte,496.645.281-18,dina-silveira@hjmail.com.br,2311603,(33) 1783 - 5436; (28) 5763 - 8804; (98) 3134 - 6805,"Travessa do Coelho da Páscoa, 597",2;3;1
326,Gladison Santos Edgar,918.156.721-42,gladisonsantos@septem.co.uk,2507408,(49) 1946 - 2129; (21) 26477 - 4407; (84) 8148 - 7613,"Rua Costa Teles, 1411 - Apto 767",2;1;4
327,Lisa Sousa Crozara,721.197.962-69,lisasousa@septem.co.uk,2305209,(49) 1729 - 8337; (64) 11873 - 1458; (89) 1537 - 1260,"Travessa Yayá, 464",1;3
328,Rosi Silveira Santos,319.954.682-89,rosi_silveira@carlmail.com,2209708,(27) 4963 - 9831; (73) 15785 - 8463; (41) 5577 - 5510,"Alameda Santos Dumont, 1591",2;1;4
329,Marcos Sousa Santos,182.863.739-94,marcossousa@carlmail.com,2806206,(55) 8156 - 1123; (22) 4158 - 5532; (61) 2141 - 4471,"Travessa Cristina Aveiro, 255",2;1
330,William Sousa Santos,685.421.376-51,william.sousa@septem.co.uk,2500809,(58) 6184 - 8716; (62) 17952 - 6354; (58) 4151 - 9557,"Rua Vinícius CEO, 1766 - sala 22",2;3
331,Orlando Racazella Duarte,526.126.221-72,orlando.racazella@carlmail.com,2313203,(99) 5843 - 1147; (45) 17527 - 2728; (34) 6365 - 8348,"Alameda Carolina, 1858",2;1;3
332,Rosa Lucas Lucas,684.932.753-27,rosa.lucas@carlmail.com,1508209,(31) 3368 - 5115; (42) 6955 - 3440; (19) 2276 - 2764,"Rua Vinícius CEO, 1434 - sala 11",2;3;1
333,Carlos Edgar Pires,844.938.273-68,carlosedgar@hjmail.com.br,1301407,(37) 6677 - 5265; (88) 18982 - 8746; (17) 8762 - 5907,"Alameda Marques, 1361",1;3;2
334,Orlando Edgar de Sá,199.346.911-35,orlandoedgar@hjmail.com.br,2612505,(66) 9569 - 5426; (13) 30735 - 1652; (38) 1998 - 9106,"Avenida Cristina Aveiro, 97",3;1;2
335,Rosa Walter Edgar,532.586.151-84,rosa-walter@hjmail.com.br,2312403,(36) 9776 - 5488; (38) 27288 - 3316; (37) 7351 - 3493,"Travessa do Carneiro, 2007",4;1
336,Igor Trindade Trindade,368.473.125-77,igor-trindade@septem.co.uk,2408201,(92) 4361 - 3975; (78) 26852 - 3585; (87) 5999 - 1324,"Travessa Cristo, 667 - Apto 112",4;1
337,João Oliveira Andrade,498.869.321-35,joãooliveira@carlmail.com,1718204,(94) 1838 - 7215; (23) 28917 - 3426; (29) 9354 - 9666,"Rua Carolina, 1465",1;3;4
338,Carlos Sousa de Sá,369.738.356-91,carlos-sousa@hjmail.com.br,1300631,(63) 9254 - 1939; (85) 17824 - 5935; (25) 3116 - 2646,"Travessa do Whisky, 330 - sala 16",3;1;2;4
339,Giulia Melo Silveira,192.891.663-64,giuliamelo@hjmail.com.br,1300680,(86) 8676 - 7566; (14) 3352 - 2419; (24) 6141 - 2400,"Rua Santos Dumont, 449",1;2;4;3
340,Lauro Andrade Walter,953.869.877-31,lauroandrade@carlmail.com,2502805,(87) 7864 - 4569; (38) 6418 - 3660; (42) 1117 - 3483,"Travessa do Carneiro, 669 - sala 7",1;3
341,Lauro Pires Walter,697.916.897-25,lauro-pires@hjmail.com.br,1711506,(68) 2246 - 7238; (86) 14933 - 6861; (57) 6238 - 8122,"Avenida Setembro, 566 - sala 4",4;2;1
342,Marcos Silveira Santista,747.985.287-34,marcos-silveira@carlmail.com,2309300,(63) 6525 - 9755; (38) 29192 - 6642; (97) 4223 - 4701,"Avenida Zimbro, 1089",3;4;1;2
343,Marcos Ramos Trindade,152.189.174-51,marcos.ramos@septem.co.uk,2106300,(46) 7764 - 4675; (61) 25499 - 2673; (42) 8758 - 9178,"Travessa milipode, 1719 - sala 15",2;1;3
344,William Santista Ramos,643.369.481-65,william-santista@hjmail.com.br,1720903,(77) 5352 - 2996; (23) 19291 - 5686; (48) 3666 - 9038,"Alameda Estados Desunidos, 2036",2;1;3
345,Natasha Abreu Santos,695.156.188-29,natasha_abreu@carlmail.com,1502707,(25) 9782 - 1585; (52) 12958 - 3364; (25) 9466 - 5973,"Alameda Setembro, 86",4;2
346,Caio de Sá De Melo,452.279.989-56,caiode@carlmail.com,2406155,(57) 7866 - 7711; (53) 18126 - 5777,"Alameda Estados Desunidos, 166 - sala 25",4;1;2
347,Mylen Sousa Sousa,959.969.692-35,mylensousa@hjmail.com.br,1505601,(97) 5491 - 4996; (97) 2753 - 5497,"Avenida da Cenoura, 56",2;3
348,Marcos Duarte De Melo,751.179.741-57,marcos_duarte@hjmail.com.br,1708254,(46) 1214 - 7387; (39) 15152 - 2781,"Alameda Santos Dumont, 1088 - Apto 803",2;4;1
349,Otávio Sousa Queiroz,553.737.882-81,otávio_sousa@hjmail.com.br,2508000,(17) 1497 - 3217; (84) 21431 - 1002,"Avenida do Bode, 401 - Apartamento 440",2;4;3
350,Teresa Edgar Lucas,972.517.913-34,teresa.edgar@carlmail.com,2511509,(36) 7851 - 6176; (58) 29956 - 1553,"Rua garça, 856",3;4;1
351,Luzia Silva Silveira,894.644.577-35,luzia.silva@carlmail.com,2608800,(88) 1451 - 4617; (54) 15519 - 6516,"Alameda Maria Angélica, 1270 - Apartamento 549",2;3;4
352,Beatriz Andrade Edgar,214.481.928-22,beatriz-andrade@carlmail.com,2304004,(74) 7878 - 5884; (93) 29582 - 3516,"Avenida Colonial, 1882 - sala 3",3;2
353,William Andrade Sousa,268.499.349-96,william-andrade@septem.co.uk,2108058,(98) 9432 - 3317; (97) 18913 - 1800,"Avenida Setembro, 484 - Apartamento 153",2;1
354,Guilherme Racazella Melo,235.926.487-34,guilherme.racazella@septem.co.uk,2405009,(64) 8426 - 2828; (63) 11216 - 8681,"Avenida Setembrina, 1177 - sala 6",2;3;1
355,Laura Santos Edgar,782.585.692-88,laura-santos@septem.co.uk,2101509,(74) 1187 - 2221; (84) 16858 - 5516,"Avenida Setembrino, 1714 - Apartamento 209",1;3;4
356,João Oliveira De Melo,784.461.259-41,joãooliveira@carlmail.com,2604155,(12) 1491 - 1177; (95) 5295 - 8903,"Avenida Marques, 1022",4;2
357,Luzia Crozara Racazella,969.186.264-35,luzia-crozara@hjmail.com.br,2406106,(77) 9761 - 1314; (73) 14261 - 5016,"Avenida Easy, 1714",1;3;2
358,Pamela Oliveira Duarte,985.295.652-87,pamelaoliveira@hjmail.com.br,1200104,(48) 1816 - 9447; (98) 11134 - 2706,"Avenida do Carneiro, 897 - sala 2",1;2
359,Otávio Lima Queiroz,366.826.214-11,otávio-lima@carlmail.com,2304806,(23) 5439 - 3578; (36) 9293 - 9325,"Alameda Zimbro, 786",2;1;3
360,Carlos Santos De Melo,362.684.687-79,carlos_santos@hjmail.com.br,2202604,(22) 3428 - 2741; (77) 21275 - 7573,"Travessa serenata, 1645 - sala 4",3;4;2;1
361,Guilherme Silva de Sá,731.115.629-73,guilherme-silva@hjmail.com.br,2401503,(68) 6924 - 7858; (94) 6933 - 2668,"Alameda confins, 1714",3;2;1
362,Lauro Santista Lucas,527.224.826-97,laurosantista@septem.co.uk,2707800,(48) 1271 - 3556; (24) 8538 - 5763,"Rua Saracura, 1460",1;4;3;2
363,Caio Santista Abreu,841.113.311-93,caio_santista@hjmail.com.br,2301802,(14) 1841 - 2124; (48) 25119 - 6874,"Rua garça, 99 - sala 4",4;3
364,Maria Santista Duarte,998.184.386-11,maria_santista@septem.co.uk,2515401,(91) 2847 - 4671; (84) 16254 - 3771,"Rua Costa Teles, 476",2;1;3;4
365,Leandro de Sá Ramos,642.536.956-18,leandro.de@carlmail.com,2410702,(83) 1372 - 7343; (89) 23131 - 7750,"Travessa da Lenora, 1519",4;2;3
366,Sousa Melo Ramos,668.237.144-31,sousa-melo@carlmail.com,2202109,(41) 7239 - 9416; (51) 23296 - 2656,"Rua do Bode, 1549 - Apartamento 342",4;2;3
367,Caio Abreu Ramos,453.957.115-83,caioabreu@septem.co.uk,2202208,(84) 3568 - 4351; (54) 9569 - 2857,"Avenida serenata, 1237",1;4;3
368,Sousa Andrade Pires,483.325.956-96,sousa_andrade@septem.co.uk,2506509,(81) 5157 - 3649; (71) 19478 - 5313,"Rua da Cenoura, 271",1;2;4
369,Natasha Santos Silva,243.354.161-19,natasha.santos@carlmail.com,2311231,(83) 1889 - 4112; (88) 6428 - 7815,"Rua da Lenora, 1204 - Apartamento 14",4;1;3
370,Caio Abreu Silveira,943.518.792-13,caio_abreu@carlmail.com,1507458,(94) 8387 - 9375; (19) 21733 - 2300,"Travessa do Whisky, 1762",1;3;2
371,Guilherme Santista Silveira,738.463.644-17,guilherme.santista@septem.co.uk,2513208,(86) 5724 - 2449; (17) 29872 - 3054,"Travessa Setembro, 1958 - sala 8",4;3;2
372,Leandro Silva Edgar,725.265.776-82,leandrosilva@carlmail.com,2708204,(18) 7651 - 9383; (97) 23114 - 3265,"Rua Easy, 1330 - sala 16",4
373,Pamela Santista Oliveira,698.617.918-42,pamelasantista@hjmail.com.br,1504752,(29) 8127 - 7586; (14) 7991 - 3421,"Rua Easy, 852",1;4;3;2
374,Orlando Pires Racazella,235.523.238-84,orlando.pires@carlmail.com,2804706,(45) 7568 - 7885; (74) 13843 - 5641,"Travessa Easy, 791 - Apto 970",4;3;2
375,Rafaela Lima Queiroz,468.682.872-46,rafaelalima@septem.co.uk,1506203,(32) 5143 - 2579; (12) 30753 - 7432,"Rua Marcos, 176",1;4;2
376,Giulia Abreu Oliveira,337.287.922-52,giulia_abreu@septem.co.uk,2708907,(79) 9481 - 7699; (85) 28454 - 7027,"Alameda do Coelho da Páscoa, 1921",2;1;3
377,Sousa Abreu Andrade,348.954.878-63,sousa-abreu@septem.co.uk,2513406,(52) 1963 - 2553; (24) 22255 - 3185,"Rua garça, 1163",4;3
378,Igor Queiroz Edgar,973.541.257-59,igor_queiroz@carlmail.com,1100700,(95) 8936 - 7484; (69) 5878 - 5324,"Alameda confins, 1151",1;4;3
379,Laura Andrade Crozara,144.398.649-77,laura-andrade@septem.co.uk,2203909,(45) 8841 - 8571; (54) 23612 - 9445,"Travessa Brasil, 1638",3;1;4
380,João Santos Racazella,928.321.119-39,joãosantos@septem.co.uk,2510105,(36) 6665 - 8382; (66) 17784 - 9482,"Rua Brasil, 1319 - sala 5",4;3;1
381,Otávio Andrade De Melo,544.663.274-67,otávio-andrade@septem.co.uk,2111102,(75) 3834 - 8382; (72) 22668 - 2464,"Alameda Maria Angélica, 1109 - Apartamento 602",2;1;4
382,Giulia Edgar Silva,437.576.298-42,giulia.edgar@hjmail.com.br,1720903,(14) 4267 - 2235; (56) 5243 - 8578,"Rua Maria Angélica, 630 - Apto 303",4;1;3
383,Marcos Lima Crozara,931.147.843-18,marcos.lima@carlmail.com,1502608,(18) 3229 - 5516; (52) 9385 - 4956,"Alameda da Lenora, 461",2;3
384,Gladison Trindade Santos,696.271.893-15,gladison.trindade@carlmail.com,2909604,(39) 8512 - 8589; (77) 2176 - 2358,"Travessa Evangelista, 1564 - Apto 297",2;3
385,Otávio Melo Pires,468.445.459-67,otávio_melo@carlmail.com,2403608,(79) 3691 - 9911; (61) 11216 - 4525,"Avenida Estados Desunidos, 109",4;3;2;1
386,Pamela Melo Melo,613.988.792-18,pamela_melo@hjmail.com.br,2906006,(78) 5869 - 1318; (57) 30844 - 6396,"Alameda confins, 677 - sala 6",1;3;4
387,Sousa Ramos Ramos,191.452.824-73,sousa-ramos@carlmail.com,2202406,(49) 7485 - 9526; (17) 27836 - 3166,"Travessa Maria Angélica, 1769",4;2;3
388,Rosi Andrade Santista,719.548.755-22,rosi.andrade@septem.co.uk,2702207,(24) 8265 - 4625; (14) 27481 - 7177,"Rua Santos Dumont, 1129",2;1;4
389,Guilherme de Sá Ramos,328.983.848-91,guilherme_de@septem.co.uk,2312502,(67) 2832 - 3373; (58) 20276 - 8078,"Travessa Evangelista, 1766",1;2;3
390,Adriana Abreu Sousa,374.846.424-53,adrianaabreu@septem.co.uk,1505064,(75) 9466 - 9445; (38) 16826 - 4402,"Avenida Yayá, 1122",2;4;3
391,Camila Racazella Trindade,825.731.547-45,camila.racazella@hjmail.com.br,2600906,(24) 3542 - 9338; (65) 19721 - 8659,"Alameda Costa Teles, 1155",4;1;2;3
392,Laura Sousa Santos,519.564.876-26,laura_sousa@carlmail.com,2805109,(49) 4271 - 4582; (32) 19919 - 5118,"Alameda garça, 1646",1;2
393,Rafaela De Melo Silva,945.721.859-71,rafaela.de@hjmail.com.br,2312106,(82) 9314 - 8131; (15) 1234 - 8575,"Avenida serenata, 1674",1;4;2
394,Teresa Melo Racazella,198.614.479-78,teresa.melo@hjmail.com.br,1501576,(71) 7611 - 6935; (81) 27682 - 5568; (61) 6137 - 6230,"Avenida da Cenoura, 31 - Apartamento 185",2;4;1;3
395,Eduardo Santista Walter,396.157.765-77,eduardo_santista@hjmail.com.br,2616100,(58) 5813 - 9163; (41) 2949 - 8991; (21) 5995 - 2303,"Alameda do Bode, 433 - Apto 676",1;4;2
396,Sousa Racazella Lima,584.557.537-92,sousa-racazella@hjmail.com.br,1711803,(38) 4817 - 5248; (75) 23278 - 8467; (19) 5498 - 3772,"Avenida Carolina, 1507",2;1;4
397,Caio Silveira Santista,181.366.234-33,caio-silveira@hjmail.com.br,2508554,(13) 1642 - 7522; (74) 8632 - 9263; (17) 1954 - 9208,"Alameda Costa Teles, 1790",4;3
398,Rosi Lima Crozara,483.611.638-99,rosilima@carlmail.com,2709301,(51) 2953 - 2336; (31) 17944 - 2510; (24) 7336 - 8986,"Avenida Saracura, 1548",2;3;1
399,Laura Pires Lucas,682.293.538-38,laura.pires@hjmail.com.br,2700409,(77) 8372 - 8349; (61) 4988 - 4043; (42) 5763 - 7995,"Alameda do Gin Tônica, 1517",4;1;2
400,Giulia Silveira Queiroz,183.785.517-81,giuliasilveira@septem.co.uk,2902252,(79) 4947 - 8294; (32) 4318 - 1357; (17) 2594 - 3734,"Alameda serenata, 1052 - Apartamento 992",4;1;2
401,Sousa Sousa Silva,721.915.456-78,sousa_sousa@carlmail.com,1302207,(77) 9365 - 3128; (36) 29481 - 5475; (73) 1329 - 2057,"Alameda Cristina Aveiro, 1877",4;2;1
402,William Sousa Pires,995.988.765-32,williamsousa@hjmail.com.br,2301703,(66) 4657 - 4645; (14) 25527 - 5634; (74) 7765 - 1619,"Avenida serenata, 1295",2;1;4
403,Carla Abreu Abreu,321.214.886-51,carla_abreu@hjmail.com.br,1100189,(14) 4699 - 7483; (89) 12935 - 8370; (21) 8999 - 4828,"Travessa Easy, 637",2;3;4
404,Carlos Queiroz Ramos,113.311.639-91,carlos-queiroz@hjmail.com.br,2209104,(78) 3239 - 4526; (54) 19784 - 8538; (33) 9571 - 6297,"Avenida do Carneiro, 60 - sala 10",3;1
405,Caio Lucas Duarte,788.967.777-57,caio.lucas@hjmail.com.br,1720937,(35) 3351 - 6257; (64) 16226 - 5383; (67) 2686 - 6765,"Rua Vinícius CEO, 427 - Apto 403",1;2;3
406,Orlando Melo Abreu,874.761.843-78,orlando-melo@carlmail.com,2111672,(46) 9411 - 2563; ,"Alameda Uberaba, 179",3;2
407,Luzia Lucas Silveira,331.781.648-87,luzia.lucas@hjmail.com.br,1100205,(39) 9188 - 5227; ,"Rua Carolina, 1000",3;4;1
408,Antonio Santos Racazella,789.915.655-32,antonio_santos@carlmail.com,1101435,(65) 1268 - 9362; ,"Travessa Zimbro, 933",4;2
409,João Ramos de Sá,976.899.187-91,joão-ramos@carlmail.com,2400604,(28) 2913 - 4234; ,"Avenida do Coelho da Páscoa, 368",2;3
410,Pamela Pires Crozara,775.149.933-51,pamela-pires@septem.co.uk,2605905,(99) 8859 - 6543; ,"Travessa Brasil, 814 - Apartamento 561",1;2
411,Giulia Ramos Melo,231.863.413-34,giulia_ramos@hjmail.com.br,2901502,(61) 2589 - 3656; ,"Travessa Vinícius CEO, 786",2;4;1;3
412,Gladison Santos Silveira,694.514.885-84,gladison_santos@septem.co.uk,1200179,(54) 2396 - 4389; ,"Avenida da Cenoura, 1735",1;4
413,Rosi Duarte Lucas,346.434.841-46,rosi.duarte@hjmail.com.br,2510808,(83) 4272 - 9971; ,"Rua do Gin Tônica, 651 - sala 23",4;3
414,João Melo Lima,794.522.767-99,joão_melo@hjmail.com.br,2304608,(43) 6347 - 5844; ,"Alameda Ernesto Augusto, 1425 - Apto 741",1;3
415,Carlos Melo Oliveira,541.336.792-14,carlos-melo@hjmail.com.br,2613701,(15) 5152 - 6552; ,"Alameda da Cenoura, 1369",1;4
416,Maria Santista Oliveira,523.287.118-71,mariasantista@septem.co.uk,2514107,(26) 3819 - 6329; ,"Avenida Colonial, 522 - Apto 800",1;3;2
417,Maria Andrade Silva,874.521.677-93,maria_andrade@carlmail.com,2500700,(67) 2485 - 9347; (72) 18796 - 5485; (67) 6721 - 6332,"Rua Santos Dumont, 1844 - Apto 994",1;3;4
418,Carlos Oliveira Oliveira,639.875.787-22,carlos.oliveira@septem.co.uk,1400506,(84) 9959 - 4677; (26) 15456 - 6201; (62) 1835 - 5320,"Travessa do Gin Tônica, 1003 - Apartamento 125",2;1
419,Orlando Santista Sousa,798.573.443-16,orlando.santista@hjmail.com.br,2704005,(78) 2782 - 5936; (77) 10845 - 1178; (99) 9939 - 6887,"Alameda Marcos, 137",1;4;2;3
420,Carla Abreu Santista,734.348.773-97,carla-abreu@carlmail.com,1506138,(55) 1871 - 4824; (58) 3619 - 1395; (68) 4212 - 9459,"Travessa Marcos, 1158 - Apartamento 355",3;1;2
421,Maria Edgar Trindade,592.318.338-66,maria_edgar@hjmail.com.br,2309102,(25) 1443 - 6581; (77) 11539 - 5113; (81) 9779 - 2140,"Avenida Setembrina, 1877",3;4
422,Camila Lima Trindade,437.543.333-65,camila_lima@hjmail.com.br,1702703,(81) 7313 - 8762; (82) 10332 - 6187; (32) 6922 - 6169,"Travessa Peas, 645",2;3
423,Priscila Pires Santista,746.754.335-89,priscila-pires@carlmail.com,2112274,(33) 5417 - 6321; (98) 20992 - 3147; (69) 8738 - 2047,"Rua Uberaba, 1650 - sala 4",4;1
424,Caio Santista Andrade,234.688.993-58,caio_santista@septem.co.uk,2107407,(35) 4745 - 8585; (18) 8661 - 2100; (67) 8932 - 4710,"Rua da Lenora, 1656 - Apartamento 124",2;3
425,Dina Andrade Andrade,514.463.497-35,dina.andrade@septem.co.uk,2504306,(77) 7859 - 8267; (55) 19913 - 4372; (74) 5915 - 4438,"Rua Yayá, 1079 - Apartamento 22",4;2;1
426,Rosa Ramos De Melo,853.151.794-76,rosa-ramos@carlmail.com,2413706,(97) 2722 - 5614; (54) 17378 - 8957; (36) 1959 - 1793,"Travessa Uberaba, 1727",4;1;3
427,Adriana Silva Silveira,254.131.565-77,adriana-silva@carlmail.com,1717800,(43) 6979 - 5726; (27) 17341 - 1393; (41) 5279 - 2799,"Travessa Zimbro, 68 - Apartamento 187",3;4;2
428,Lauro Andrade de Sá,357.652.996-65,lauro-andrade@septem.co.uk,2104800,(41) 7365 - 2896; (16) 26342 - 5596; (85) 6756 - 5064,"Travessa do Coelho da Páscoa, 897 - sala 24",1;2
429,Carla Oliveira Duarte,655.673.526-59,carla.oliveira@carlmail.com,2304202,(56) 9891 - 9898; (49) 7465 - 8429; (37) 3865 - 2251,"Travessa Marques, 839",2;1;4
430,Carlos de Sá Lima,488.236.497-15,carlos.de@hjmail.com.br,1302108,(36) 4378 - 3934; (92) 27484 - 8378; (76) 4741 - 9989,"Avenida milipode, 1939",3;1;4
431,Carlos de Sá Silveira,962.569.622-56,carlos_de@hjmail.com.br,1703107,(29) 1113 - 4952; (68) 26874 - 8328; (94) 9214 - 3787,"Travessa Lenora, 1509",2;4;3
432,Eduardo Walter Lucas,514.573.698-22,eduardo_walter@carlmail.com,2102077,(97) 5455 - 8482; (65) 3489 - 2157; (68) 4899 - 7436,"Avenida da Cenoura, 287 - Apto 726",2;4
433,Otávio Queiroz Edgar,451.839.789-21,otávio_queiroz@hjmail.com.br,2512762,(84) 4588 - 6394; (98) 21115 - 5736; (37) 6759 - 2711,"Avenida Marques, 651",4;3;2
